"Keyword","Currency","Avg. monthly searches","Three month change","YoY change","Competition","Competition (indexed value)","Top of page bid (low range)","Top of page bid (high range)","cluster","confidence"
"gravure photo sur bois personnalisé","EUR","50","0%","0%","High","100","0.003889832","0.009034111","gift_personalized","high"
"cadeau pour papy et mamie noel","EUR","50","900%","0%","High","99","0.00186146","0.005273701","gift_grandparents","high"
"photo portrait personnalisé","EUR","50","0%","0%","High","100","0.005890493","0.016082882","gift_personalized","high"
"cadeau femme photo","EUR","50","0%","0%","High","100","0.004785679","0.012251731","gift_personalized","high"
"idée cadeau noce de coton homme","EUR","50","0%","0%","High","100","0","0","life_events","medium"
"idée de cadeau anniversaire de mariage","EUR","5000","0%","0%","High","100","0.00152405","0.006206387","gift_anniversary","high"
"cadeau photo sur toile","EUR","50","0%","0%","High","100","0.014924604","0.033895846","physical_products","medium"
"cadeau bois anniversaire mariage","EUR","50","0%","0%","High","100","0","0","gift_anniversary","high"
"cadeau naissance grand parents","EUR","50","0%","0%","High","100","0.001939374","0.009314145","gift_grandparents","high"
"idée cadeau avec des photos","EUR","500","900%","0%","High","100","0.004099124","0.012562083","gift_other","medium"
"cadre photo personnalisé anniversaire","EUR","50","0%","0%","High","100","0.004417952","0.01569592","gift_anniversary","medium"
"porte clé porte photo","EUR","50","900%","0%","High","99","0.00153546","0.009208521","physical_products","medium"
"cadeau homme anniversaire mariage","EUR","500","0%","0%","High","100","0.00187287","0.006061969","gift_anniversary","high"
"cadre photo gravé baptême","EUR","50","-100%","-100%","Unknown","","0","0","physical_products","medium"
"livre personnalisé de noel","EUR","50","0%","0%","High","100","0.005502227","0.019455352","gift_personalized","high"
"cadeau noel papa personnalisé","EUR","50","900%","0%","High","100","0.003012566","0.009627757","gift_fathers","high"
"idée cadeau pour sa mère","EUR","500","900%","0%","High","100","0.001916554","0.008296373","gift_mothers","high"
"cadeau fête des mères photo","EUR","500","0%","0%","High","100","0","0","gift_mothers","high"
"quoi offrir noce de coton","EUR","50","0%","0%","High","100","0","0","life_events","medium"
"noce de froment cadeau homme","EUR","50","0%","0%","High","100","0","0","life_events","medium"
"boutique cadeau anniversaire de mariage","EUR","50","0%","0%","High","100","0","0","gift_anniversary","high"
"boule de noel personnalisée premier noel","EUR","50","0%","-90%","High","100","0.00285902","0.009899641","physical_products","medium"
"cadeau toile photo","EUR","50","0%","0%","High","100","0.014924604","0.033895846","physical_products","medium"
"cadeau noces de cuir pour femme","EUR","50","0%","0%","High","100","0.002926828","0.006444693","gift_anniversary","high"
"cadre photo avec message personnalisé","EUR","50","0%","0%","High","100","0.005097009","0.012528505","physical_products","medium"
"noce de cristal cadeau","EUR","500","-90%","0%","High","100","0.001694222","0.005484297","life_events","medium"
"cadeau personnalisé photo lumiere","EUR","0","0%","-100%","Unknown","","0","0","gift_personalized","high"
"noce de corail cadeau","EUR","500","-90%","0%","High","100","0.001947198","0.004454138","life_events","medium"
"article personnalisé avec photo","EUR","50","0%","0%","High","100","0.004551285","0.013327857","gift_personalized","high"
"cadeau photo meilleure amie","EUR","50","0%","0%","High","100","0.004966283","0.008647475","gift_personalized","high"
"poster photo anniversaire","EUR","50","0%","0%","High","100","0.00447598","0.019753316","gift_anniversary","medium"
"mémo personnalisé photo","EUR","50","0%","0%","High","100","0.008326365","0.028025565","gift_personalized","high"
"petit cadeau pour maman","EUR","50","900%","0%","High","100","0.001676618","0.005736621","gift_mothers","high"
"cadeaux papy et mamie","EUR","50","900%","0%","High","100","0.002116718","0.005775415","gift_grandparents","high"
"cadeau photo personnalisable","EUR","5000","0%","0%","High","100","0.006162703","0.015468046","gift_personalized","high"
"cadeau papi et mamie","EUR","50","900%","0%","High","100","0.002031958","0.005926353","gift_grandparents","high"
"poster panoramique personnalisé","EUR","50","0%","0%","High","100","0.005808015","0.026285377","physical_products","medium"
"idée cadeau pour anniversaire de mariage","EUR","5000","0%","0%","High","100","0.00152405","0.006206387","gift_anniversary","high"
"porte photo bois personnalisé","EUR","50","0%","0%","High","96","0.00353058","0.012636085","physical_products","medium"
"coffret cadeau femme mariage","EUR","50","0%","0%","High","100","0.00428527","0.011957353","life_events","medium"
"coffret cadeau noces d or","EUR","50","0%","?","High","100","0","0","gift_anniversary","high"
"porte clé coeur photo","EUR","50","900%","0%","High","100","0.003477116","0.008941201","physical_products","medium"
